City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,bukama,-9.2,25.85,21.51,95,100,1.09,CD,1708651752
111,nagqu,31.5,92.0,-9.69,41,100,2.5,CN,1708651752
112,barra do corda,-5.5,-45.25,22.05,99,100,0.95,BR,1708651752
113,utete,-7.986,38.758,24.68,92,100,0.54,TZ,1708651752
114,mugia,43.1041,-9.2179,11.06,71,100,12.45,ES,1708651752
115,kruisfontein,-34.0033,24.7314,17.71,74,80,0.89,ZA,1708651752
116,college,64.8569,-147.8028,-0.82,69,75,7.72,US,1708651752
117,shahrud,36.4182,54.9763,2.81,66,9,0.69,IR,1708651752
118,sitia,35.2,26.0986,11.66,77,0,3.7,GR,1708651752
119,port alfred,-33.5906,26.891,18.99,99,100,5.39,ZA,1708651753
120,illizi,26.4833,8.4667,9.89,36,0,3.07,DZ,1708651753
121,salinopolis,-0.6136,-47.3561,24.34,92,100,3.85,BR,1708651753
122,aberdeen,57.1437,-2.0981,0.27,80,0,1.03,GB,1708651753
123,antofagasta,-23.65,-70.4,21.6,81,0,2.99,CL,1708651753
124,ejura,7.3856,-1.3562,28.88,44,100,1.67,GH,1708651753
125,okha,53.5739,142.9478,-19.12,79,14,8.42,RU,1708651753
126,nouadhibou,20.931,-17.0347,20.99,35,0,5.14,MR,1708651753
127,marsh harbour,26.5412,-77.0636,20.55,56,15,2.71,BS,1708651754
128,muri,23.3667,85.8667,17.32,58,5,0.46,IN,1708651754
129,saipan,15.1355,145.701,26.39,83,100,6.69,MP,1708651754
130,shahrak,34.1074,64.3052,-5.37,68,0,0.88,AF,1708651754
131,ola,59.5833,151.2833,-19.1,68,18,5.45,RU,1708651486
132,andovoranto,-18.95,49.1,24.08,90,50,1.28,MG,1708651754
133,mossel bay,-34.1831,22.146,17.35,76,1,2.14,ZA,1708651754
134,nemuro,43.3236,145.575,-7.73,55,83,3.06,JP,1708651754
135,york,40.1254,-77.0,4.55,91,100,1.54,US,1708651469
136,wailua homesteads,22.0669,-159.378,26.24,74,100,3.13,US,1708651755
137,posto fiscal rolim de moura,-13.0833,-62.2667,22.72,98,99,1.35,BR,1708651755
138,harper,4.375,-7.7169,27.88,85,86,5.54,LR,1708651755
139,yemva,62.59,50.8594,-9.38,94,100,4.09,RU,1708651755
140,papatowai,-46.5619,169.4708,21.35,44,100,1.54,NZ,1708651755
141,bosaso,11.2842,49.1816,24.22,77,100,1.13,SO,1708651755
142,ofunato,39.0717,141.7167,0.37,64,100,1.73,JP,1708651755
143,yorkton,51.2167,-102.4677,-2.09,86,100,4.63,CA,1708651648
144,quatre cocos,-20.2078,57.7625,25.61,88,100,6.19,MU,1708651756
145,atafu village,-8.5421,-172.5159,29.24,76,95,5.12,TK,1708651581
146,westport,41.1415,-73.3579,4.49,85,100,3.09,US,1708651756
147,trenggalek,-8.05,111.7167,28.35,76,100,1.25,ID,1708651756
148,jalai nur,49.45,117.7,-25.74,95,100,0.9,CN,1708651756
149,emerald,-23.5333,148.1667,30.19,54,27,2.89,AU,1708651756
150,minas de marcona,-15.2119,-75.1103,20.02,85,100,3.78,PE,1708651756
151,zhangjiakou,40.81,114.8794,-7.13,53,100,0.73,CN,1708651489
152,barra de santo antonio,-9.4047,-35.5072,26.6,86,25,3.3,BR,1708651757
153,cartagena,10.3997,-75.5144,26.79,78,20,4.12,CO,1708651757
154,chinde,26.8418,88.0763,7.85,73,36,2.02,NP,1708651757
155,kodinsk,58.6881,99.1844,-20.87,100,100,1.14,RU,1708651757
156,mahina,-17.5065,-149.489,30.87,70,0,4.12,PF,1708651757
157,faya-largeau,17.9257,19.1043,22.6,47,100,7.38,TD,1708651757
158,cockburn town,21.4612,-71.1419,23.61,53,0,5.81,TC,1708651757
159,margaret river,-33.95,115.0667,20.6,48,3,4.77,AU,1708651757
160,rabaul,-4.1967,152.1721,28.87,73,100,2.99,PG,1708651757
161,touros,-5.1989,-35.4608,27.77,79,100,5.85,BR,1708651758
162,staraya russa,57.9944,31.3608,1.1,98,100,4.46,RU,1708651758
